tweet,favs,retweets,id,date,media_url
"Ich habe mich soeben zum ersten Mal im Leben mit einem Rasierhobel (also einer Rasierklinge) rasiert und Rasierseife benutzt, welche ich mit dem Rasierpinsel aufgetragen habe.

Ich fühle mich wie ein exquisiter Gentleman.
🎩
🧐 https://t.co/4b5Yj4zva6",28,0,1410582227461812228,2021-07-01 12:53:05+00:00,['http://pbs.twimg.com/media/E5NkMmgXwAEwcst.jpg']
"Ich bin in einer Assignment Gruppe mit 2 Studenten aus dem 3. Semester und in einer mit 3 Master Studenten.
Es ist absurd wie sehr entspannter die Zusammenarbeit mit den Master Studenten in meinem Alter ist.",27,0,1398694543113994246,2021-05-29 17:35:40+00:00,[]
Einfach Super Star ⭐😎 https://t.co/qdq1odEDSw,25,2,1424142018255728640,2021-08-07 22:54:51+00:00,"['http://pbs.twimg.com/media/E8ORnUuXEAEYR2I.jpg', 'http://pbs.twimg.com/media/E8ORnhqXIAAVwdj.jpg']"
😃 https://t.co/Gwm5ALbNUe,24,0,1409555317571080197,2021-06-28 16:52:30+00:00,['http://pbs.twimg.com/media/E4-_C8uWUBcwlD4.jpg']
"Ich habe letzten Monat das erste Mal im Leben mit Programmieren Geld verdient. 💰
Dabei habe ich vor ca. 13 Jahren das erste mal programmiert. 😳",24,1,1432778028254367756,2021-08-31 18:51:16+00:00,[]
Mein Fremdgehen69-Chat spinnt lass in WhatsApp weiterschreiben haha,24,1,1401951577380986883,2021-06-07 17:17:57+00:00,[]
"War ein echt guter 25. Geburtstag. Die erste Hälfte mit mir selbst  beschäftigt  – Ein stabiles Workout bis zur Muskelermüdung, Selfcare, also mich rundum gepflegt &amp; dann Uni Stoff nachgeholt.
Das dritte Viertel mit der Familie &amp; das letzte Viertel mit Freunden in Köln verbracht.",24,0,1400220328954105857,2021-06-02 22:38:35+00:00,[]
"Jeder der mich vermisst hat, drückt auf das Herz. 😍👍🏾",23,0,1441821352105676801,2021-09-25 17:46:12+00:00,[]
"🇩🇪 Englische Musiker Auf Deutsch 🇩🇪
Mac Miller --&gt; Martin Müller
Ariana Grande --&gt; Anna Groß
Drake --&gt; Drachenlord
Florida --&gt; Mönchengladbach",23,3,1401128352262598658,2021-06-05 10:46:45+00:00,[]
"Der Beweis, dass ich mit jeder Frisur gut aussehen würde. https://t.co/xE8EkkV3gN",23,1,1399817179311247362,2021-06-01 19:56:37+00:00,['http://pbs.twimg.com/media/E20mThaWYAIEvku.jpg']
Mir tun die meisten auf meiner Timeline voll leid. Eure Leben sind so verdammt langweilig und scheiße. Und das ist der einzige Grund wieso ihr twittert.,23,1,1421956873041940484,2021-08-01 22:11:51+00:00,[]
"Ich habe heute das erste mal Bubble Tea getrunken. Die Bubbles waren ein interessantes Erlebnis auf der Zunge. Das drumherum war unspektakulär. Ich gebe eine 6,8/10.",23,0,1413929370952118280,2021-07-10 18:33:26+00:00,[]
Ich habe heute von 6 verschiedenen Menschen ein Kompliment für mein Aussehen bekommen. Ich bin eine Hure.,22,1,1424165611702263808,2021-08-08 00:28:36+00:00,[]
Ich benutze immer noch :) und :D,22,4,1397543448673198080,2021-05-26 13:21:37+00:00,[]
Auf Instagram tun alle so als wären sie glücklich. Und hier so als wären sie manisch depressiv. Die Wahrheit liegt wohl irgendwo in der Mitte.,22,2,1397872643672621059,2021-05-27 11:09:44+00:00,[]
"Ich wollte gegen jemanden auf TikTok (zurecht) sticheln und er hat mir einfach ein Kompliment für mein Aussehen gemacht. 
Er hat gewonnen. https://t.co/SuEXpN0k5H",22,1,1411090202974695424,2021-07-02 22:31:35+00:00,['http://pbs.twimg.com/media/E5Uy0tmX0AIcfsM.jpg']
"Mein Therapeut: Fuckboy Xatar ist nicht echt. Er kann dir nicht weh tun.
Fuckboy Xatar: https://t.co/jHXFtA8O6m",22,1,1399049673936097287,2021-05-30 17:06:50+00:00,"['http://pbs.twimg.com/media/E2psQqKXEAMfUJ_.jpg', 'http://pbs.twimg.com/media/E2psQ4eWEAIlZhQ.jpg']"
Wie viel wiegt ihr?,21,0,1397360034355589122,2021-05-26 01:12:48+00:00,[]
"Einer bei mir in der Kicktipp Gruppe hat einfach Unentschieden getippt. 
Unentschieden. IN DER K.O. PHASE!! 🤨🤨🤨",21,0,1409575027423449097,2021-06-28 18:10:49+00:00,[]
Ich sehe da einfach drauf aus wie diese Instagram Inder die immer corny Sprüche auf ihre Bilder editieren. https://t.co/cQafH5bLdj,21,0,1426556910266986498,2021-08-14 14:50:46+00:00,['http://pbs.twimg.com/media/E8wl8t1XEAgTA5p.jpg']
"Ich versuche ein professionelles  Verhältnis zu dem Designer zu haben den ich angeheuert habe und schreibe im hochgetochenem Englisch.

Er antwortet mit ""Hey bro"". 😐",21,0,1402969004315230215,2021-06-10 12:40:51+00:00,[]
https://t.co/eox3z02g1u,20,1,1415327067562856449,2021-07-14 15:07:23+00:00,['http://pbs.twimg.com/media/E6RAdxtWEAIoqFy.jpg']
"Da will ich einmal nach Jahren Überwindung mein Tourette angehen und besorge mir eine Überweisung zum Spezialistin. 
Nächster Termin: 7.4.2022... 🤨

Habe ich mal gemacht aber hoffentlich finde ich an einer anderen Klinik einen früheren Termin.",20,1,1397175252971626500,2021-05-25 12:58:33+00:00,[]
"Mit IQ flexen ist peinlicher als mit Dingsgröße zu flexen. Finde ich richtig schlimm.

Aber habe ich beides als Jungspund gemacht also wer bin ich, dass ich urteile hahah",20,0,1396275229396193280,2021-05-23 01:22:10+00:00,[]
Produktiv https://t.co/4VlOYgniWm,20,0,1399739935314354176,2021-06-01 14:49:41+00:00,['http://pbs.twimg.com/media/E2zf7M0WUAE458D.jpg']
Ich sehe gleich das erste mal ein Champions League Spiel im Stadion. :) #BVBaja,20,0,1455938582095478790,2021-11-03 16:43:02+00:00,[]
:) https://t.co/qYgtv0TypS,20,0,1451967088952856589,2021-10-23 17:41:44+00:00,['http://pbs.twimg.com/media/FCZsXh4WYAQzHqG.jpg']
"Was geht Deutschland, seid ihr mit uns down?
Und dem Nationalteam, dem die Leute vertrauen.
Bei dem die Ladys alle schreien, die Gegner alle weinen.
Und sie kommen als Europameister heim. 🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪",20,0,1404872621766942724,2021-06-15 18:45:08+00:00,[]
